"Date","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 5 year (95% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [a] [b] [c] [d]             IUM5WTL","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 5 year (75% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [a] [b] [c] [d]             IUMBV42","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 5 year (60% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [d]             IUMZO27","Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 5 year (90% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [d]             IUMZO28"
"31 Dec 25","4.76","4","3.88","4.35"
"30 Nov 25","4.82","4.07","3.96","4.41"
"31 Oct 25","4.89","4.17","4.1","4.5"
"30 Sep 25","4.9","4.16","4.07","4.51"
"31 Aug 25","4.86","4.11","4.03","4.43"
"31 Jul 25","4.88","4.15","4.03","4.5"
"30 Jun 25","4.96","4.26","4.12","4.58"
"31 May 25","4.95","4.19","4.04","4.57"
"30 Apr 25","5.04","4.29","4.15","4.66"
"31 Mar 25","5.12","4.32","4.17","4.71"
"28 Feb 25","5.26","4.38","4.24","4.81"
"31 Jan 25","5.25","4.37","4.22","4.8"
"31 Dec 24","5.24","4.37","4.23","4.8"
"30 Nov 24","5.24","4.29","4.18","4.8"
"31 Oct 24","5.14","4.06","3.94","4.69"
"30 Sep 24","5.23","4.09","3.93","4.73"
"31 Aug 24","5.33","4.33","4.1","4.88"
"31 Jul 24","5.43","4.49","4.32","5.01"
"30 Jun 24","5.47","4.64","4.5","5.07"
"31 May 24","5.48","4.66","4.54","5.07"
"30 Apr 24","5.34","4.51","4.38","4.91"
"31 Mar 24","5.3","4.53","4.43","4.85"
"29 Feb 24","5.16","4.41","4.27","4.7"
"31 Jan 24","5.24","4.43","4.35","4.84"
"31 Dec 23","5.52","4.68","4.62","5.01"
"30 Nov 23","5.71","4.89","4.85","5.18"
"31 Oct 23","5.87","5.02","5.03","5.38"
"30 Sep 23","6.01","5.24","5.27","5.62"
"31 Aug 23","6.27","5.53","5.55","5.82"
"31 Jul 23","6.26","5.71","5.74","5.87"
"30 Jun 23","5.7","4.95","4.93","5.2"
"31 May 23","5.15","4.28","4.23","4.62"
"30 Apr 23","5.08","4.16","4.11","4.57"
"31 Mar 23","5.19","4.26","4.22","4.66"
"28 Feb 23","5.31","4.36","4.34","4.73"
"31 Jan 23","5.56","4.66","4.62","5.06"
"31 Dec 22","5.87","5.05","4.98","5.41"
"30 Nov 22","6.2","5.5","5.5","5.84"
"31 Oct 22","6.12","5.61","5.52","5.8"
"30 Sep 22","4.54","3.97","3.87","4.16"
"31 Aug 22","4.17","3.61","3.49","3.8"
"31 Jul 22","4","3.43","3.32","3.66"
"30 Jun 22","3.51","2.9","2.87","3.18"
"31 May 22","3.26","2.62","2.54","2.86"
"30 Apr 22","3.11","2.35","2.29","2.67"
"31 Mar 22","3.08","2.11","2.03","2.56"
"28 Feb 22","3.05","1.79","1.74","2.42"
"31 Jan 22","3.07","1.63","1.54","2.41"
"31 Dec 21","3.11","1.59","1.5","2.47"
"30 Nov 21","3.2","1.52","1.39","2.58"
"31 Oct 21","3.28","1.3","1.14","2.62"
"30 Sep 21","3.46","1.28","1.11","2.74"
"31 Aug 21","3.63","1.39","1.17","2.96"
"31 Jul 21","3.77","1.45","1.25","3.2"
"30 Jun 21","3.91","1.6","1.3","3.36"
"31 May 21","4.02","1.68","1.35","3.43"
"30 Apr 21","4.11","1.71","1.41","3.45"
"31 Mar 21","4.3","1.74","1.44","3.45"
"28 Feb 21","4.41","1.8","1.46","3.51"
"31 Jan 21","4.41","1.92","1.52","3.65"
"31 Dec 20","4.37","2","1.57","3.8"
"30 Nov 20","4.37","2.05","1.62","4.07"
"31 Oct 20","4.21","2.05","1.71","4.16"
"30 Sep 20","4.23","1.92","1.71","3.95"
"31 Aug 20","4.07","1.79","1.62","3.02"
"31 Jul 20","4.04","1.7","1.57","2.86"
"30 Jun 20","3.77","1.69","1.55","2.5"
"31 May 20","3.49","1.7","1.56","2.33"
"30 Apr 20","3.39","1.67","1.57","2.39"
"31 Mar 20","3.29","1.66","1.57","2.48"
"29 Feb 20","3.28","1.67","1.59","2.49"
"31 Jan 20","3.34","1.68","1.61","2.49"
"31 Dec 19","3.37","1.67","1.61","2.49"
"30 Nov 19","3.37","1.67","1.63","2.5"
"31 Oct 19","3.38","1.71","1.69","2.49"
"30 Sep 19","3.37","1.79","1.75","2.5"
"31 Aug 19","3.39","1.89","1.82","2.5"
"31 Jul 19","3.39","1.93","1.88","2.54"
"30 Jun 19","3.44","1.97","1.93","2.53"
"31 May 19","3.46","1.99","1.93","2.54"
"30 Apr 19","3.46","2","1.92","2.54"
"31 Mar 19","3.57","2.03","1.95","2.56"
"28 Feb 19","3.6","2.05","1.96","2.56"
"31 Jan 19","3.64","2.05","n/a","n/a"
"31 Dec 18","3.72","2.01","n/a","n/a"
"30 Nov 18","3.81","2.02","n/a","n/a"
"31 Oct 18","3.88","2.06","n/a","n/a"
"30 Sep 18","3.94","2.01","n/a","n/a"
"31 Aug 18","4.15","2.03","n/a","n/a"
"31 Jul 18","4.29","2.04","n/a","n/a"
"30 Jun 18","4.39","2.03","n/a","n/a"
"31 May 18","4.43","2.06","n/a","n/a"
"30 Apr 18","4.37","2.01","n/a","n/a"
"31 Mar 18","4.44","2.02","n/a","n/a"
"28 Feb 18","4.5","1.99","n/a","n/a"
"31 Jan 18","4.49","1.98","n/a","n/a"
"31 Dec 17","4.54","2.07","n/a","n/a"
"30 Nov 17","4.58","2.04","n/a","n/a"
"31 Oct 17","4.71","2.04","n/a","n/a"
"30 Sep 17","4.68","1.9","n/a","n/a"
"31 Aug 17","4.63","1.96","n/a","n/a"
"31 Jul 17","4.67","1.97","n/a","n/a"
"30 Jun 17","4.74","1.99","n/a","n/a"
"31 May 17","4.72","2.03","n/a","n/a"
"30 Apr 17","4.7","2.09","n/a","n/a"
"31 Mar 17","4.7","2.15","n/a","n/a"
"28 Feb 17","4.62","2.2","n/a","n/a"
"31 Jan 17","4.58","2.22","n/a","n/a"
"31 Dec 16","4.6","2.26","n/a","n/a"
"30 Nov 16","4.6","2.25","n/a","n/a"
"31 Oct 16","4.56","2.27","n/a","n/a"
"30 Sep 16","4.62","2.34","n/a","n/a"
"31 Aug 16","4.64","2.39","n/a","n/a"
"31 Jul 16","4.65","2.51","n/a","n/a"
"30 Jun 16","4.65","2.54","n/a","n/a"
"31 May 16","4.68","2.64","n/a","n/a"
"30 Apr 16","4.71","2.71","n/a","n/a"
"31 Mar 16","4.68","2.7","n/a","n/a"
"29 Feb 16","4.7","2.73","n/a","n/a"
"31 Jan 16","4.71","2.68","n/a","n/a"
"31 Dec 15","4.82","2.75","n/a","n/a"
"30 Nov 15","4.85","2.77","n/a","n/a"
"31 Oct 15","4.89","2.78","n/a","n/a"
"30 Sep 15","4.88","2.84","n/a","n/a"
"31 Aug 15","4.97","2.92","n/a","n/a"
"31 Jul 15","4.97","2.83","n/a","n/a"
"30 Jun 15","4.96","2.82","n/a","n/a"
"31 May 15","4.96","2.86","n/a","n/a"
"30 Apr 15","4.98","2.92","n/a","n/a"
"31 Mar 15","4.98","2.98","n/a","n/a"
"28 Feb 15","5.02","3.05","n/a","n/a"
"31 Jan 15","5.06","3.09","n/a","n/a"
"31 Dec 14","5.43","3.21","n/a","n/a"
"30 Nov 14","5.52","3.21","n/a","n/a"
"31 Oct 14","5.58","3.27","n/a","n/a"
"30 Sep 14","5.63","3.61","n/a","n/a"
"31 Aug 14","5.58","3.76","n/a","n/a"
"31 Jul 14","5.58","3.78","n/a","n/a"
"30 Jun 14","5.58","3.69","n/a","n/a"
"31 May 14","5.57","3.72","n/a","n/a"
"30 Apr 14","5.55","3.69","n/a","n/a"
"31 Mar 14","5.46","3.48","n/a","n/a"
"28 Feb 14","5.45","3.45","n/a","n/a"
"31 Jan 14","5.44","3.34","n/a","n/a"
"31 Dec 13","5.35","3.34","n/a","n/a"
"30 Nov 13","5.32","3.36","n/a","n/a"
"31 Oct 13","..","3.37","n/a","n/a"
"30 Sep 13","..","3.4","n/a","n/a"
"31 Aug 13","..","3.35","n/a","n/a"
"31 Jul 13","..","3.39","n/a","n/a"
"30 Jun 13","..","3.41","n/a","n/a"
"31 May 13","..","3.44","n/a","n/a"
"30 Apr 13","..","3.61","n/a","n/a"
"31 Mar 13","..","3.63","n/a","n/a"
"28 Feb 13","..","3.62","n/a","n/a"
"31 Jan 13","..","3.71","n/a","n/a"
"31 Dec 12","..","3.91","n/a","n/a"
"30 Nov 12","..","3.92","n/a","n/a"
"31 Oct 12","..","3.96","n/a","n/a"
"30 Sep 12","..","4.07","n/a","n/a"
"31 Aug 12","..","4.11","n/a","n/a"
"31 Jul 12","..","4.18","n/a","n/a"
"30 Jun 12","..","4.3","n/a","n/a"
"31 May 12","..","4.28","n/a","n/a"
"30 Apr 12","..","4.29","n/a","n/a"
"31 Mar 12","..","4.19","n/a","n/a"
"29 Feb 12","..","4.17","n/a","n/a"
"31 Jan 12","..","4.18","n/a","n/a"
"31 Dec 11","..","4.06","n/a","n/a"
"30 Nov 11","..","4.08","n/a","n/a"
"31 Oct 11","..","4","n/a","n/a"
"30 Sep 11","..","3.98","n/a","n/a"
"31 Aug 11","..","4.51","n/a","n/a"
"31 Jul 11","..","4.69","n/a","n/a"
"30 Jun 11","..","4.9","n/a","n/a"
"31 May 11","..","5.02","n/a","n/a"
"30 Apr 11","..","5.1","n/a","n/a"
"31 Mar 11","..","5.1","n/a","n/a"
"28 Feb 11","..","5.15","n/a","n/a"
"31 Jan 11","..","5.03","n/a","n/a"
"31 Dec 10","..","4.76","n/a","n/a"
"30 Nov 10","..","4.73","n/a","n/a"
"31 Oct 10","..","4.86","n/a","n/a"
"30 Sep 10","..","5.04","n/a","n/a"
"31 Aug 10","..","5.07","n/a","n/a"
"31 Jul 10","..","5.24","n/a","n/a"
"30 Jun 10","..","5.35","n/a","n/a"
"31 May 10","..","5.38","n/a","n/a"
"30 Apr 10","..","5.5","n/a","n/a"
"31 Mar 10","..","5.5","n/a","n/a"
"28 Feb 10","..","5.5","n/a","n/a"
"31 Jan 10","..","5.56","n/a","n/a"
"31 Dec 09","..","5.67","n/a","n/a"
"30 Nov 09","..","5.71","n/a","n/a"
"31 Oct 09","..","5.67","n/a","n/a"
"30 Sep 09","..","5.69","n/a","n/a"
"31 Aug 09","..","5.72","n/a","n/a"
"31 Jul 09","..","5.68","n/a","n/a"
"30 Jun 09","..","5.54","n/a","n/a"
"31 May 09","..","4.93","n/a","n/a"
"30 Apr 09","..","4.88","n/a","n/a"
"31 Mar 09","..","4.95","n/a","n/a"
"28 Feb 09","..","4.97","n/a","n/a"
"31 Jan 09","..","4.94","n/a","n/a"
"31 Dec 08","..","5.28","n/a","n/a"
"30 Nov 08","..","5.47","n/a","n/a"
"31 Oct 08","..","5.88","n/a","n/a"
"30 Sep 08","7.1","5.84","n/a","n/a"
"31 Aug 08","7.1","6.09","n/a","n/a"
"31 Jul 08","7.14","6.37","n/a","n/a"
"30 Jun 08","7.13","6.4","n/a","n/a"
"31 May 08","6.98","6.11","n/a","n/a"
"30 Apr 08","6.82","5.85","n/a","n/a"
"31 Mar 08","6.41","5.7","n/a","n/a"
"29 Feb 08","6.31","5.68","n/a","n/a"
"31 Jan 08","6.33","5.91","n/a","n/a"
"31 Dec 07","6.6","5.97","n/a","n/a"
"30 Nov 07","6.58","6.02","n/a","n/a"
"31 Oct 07","6.63","6.23","n/a","n/a"
"30 Sep 07","6.67","6.19","n/a","n/a"
"31 Aug 07","6.7","6.28","n/a","n/a"
"31 Jul 07","6.59","6.33","n/a","n/a"
"30 Jun 07","6.43","6.1","n/a","n/a"
"31 May 07","6.1","5.82","n/a","n/a"
"30 Apr 07","6.1","5.9","n/a","n/a"
"31 Mar 07","6.03","5.73","n/a","n/a"
"28 Feb 07","6","5.73","n/a","n/a"
"31 Jan 07","5.89","5.61","n/a","n/a"
"31 Dec 06","5.71","5.49","n/a","n/a"
"30 Nov 06","5.72","5.48","n/a","n/a"
"31 Oct 06","5.64","5.36","n/a","n/a"
"30 Sep 06","5.67","5.39","n/a","n/a"
"31 Aug 06","5.69","5.4","n/a","n/a"
"31 Jul 06","5.6","5.31","n/a","n/a"
"30 Jun 06","5.58","5.34","n/a","n/a"
"31 May 06","5.47","5.36","n/a","n/a"
"30 Apr 06","5.22","5.09","n/a","n/a"
"31 Mar 06","5.14","4.98","n/a","n/a"
"28 Feb 06","5.14","4.93","n/a","n/a"
"31 Jan 06","5.11","4.92","n/a","n/a"
"31 Dec 05","5.19","5","n/a","n/a"
"30 Nov 05","5.17","4.98","n/a","n/a"
"31 Oct 05","5.01","4.85","n/a","n/a"
"30 Sep 05","4.98","4.82","n/a","n/a"
"31 Aug 05","4.99","4.85","n/a","n/a"
"31 Jul 05","5","4.84","n/a","n/a"
"30 Jun 05","5.14","4.92","n/a","n/a"
"31 May 05","5.33","5.05","n/a","n/a"
"30 Apr 05","5.45","5.23","n/a","n/a"
"31 Mar 05","5.49","5.28","n/a","n/a"
"28 Feb 05","5.39","5.25","n/a","n/a"
"31 Jan 05","5.41","5.2","n/a","n/a"
"31 Dec 04","5.54","5.37","n/a","n/a"
"30 Nov 04","5.72","5.49","n/a","n/a"
"31 Oct 04","5.84","5.68","n/a","n/a"
"30 Sep 04","5.97","5.79","n/a","n/a"
"31 Aug 04","5.95","5.84","n/a","n/a"
"31 Jul 04","6.01","5.88","n/a","n/a"
"30 Jun 04","6.04","5.87","n/a","n/a"
"31 May 04","5.68","5.57","n/a","n/a"
