"Title","CPIH ANNUAL RATE 00: ALL ITEMS 2015=100"
"CDID","L55O"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","%"
"Release date","21-01-2026"
"Next release","18 February 2026"
"Important notes",
"2003 MAR","1.6"
"2003 APR","1.5"
"2003 MAY","1.3"
"2003 JUN","1.2"
"2003 JUL","1.3"
"2003 AUG","1.4"
"2003 SEP","1.3"
"2003 OCT","1.3"
"2003 NOV","1.3"
"2003 DEC","1.3"
"2004 JAN","1.5"
"2004 FEB","1.4"
"2004 MAR","1.2"
"2004 APR","1.1"
"2004 MAY","1.4"
"2004 JUN","1.5"
"2004 JUL","1.4"
"2004 AUG","1.4"
"2004 SEP","1.2"
"2004 OCT","1.3"
"2004 NOV","1.5"
"2004 DEC","1.8"
"2005 JAN","1.7"
"2005 FEB","1.7"
"2005 MAR","2.0"
"2005 APR","1.9"
"2005 MAY","1.9"
"2005 JUN","2.0"
"2005 JUL","2.3"
"2005 AUG","2.4"
"2005 SEP","2.5"
"2005 OCT","2.4"
"2005 NOV","2.2"
"2005 DEC","2.1"
"2006 JAN","2.2"
"2006 FEB","2.2"
"2006 MAR","2.0"
"2006 APR","2.2"
"2006 MAY","2.4"
"2006 JUN","2.6"
"2006 JUL","2.5"
"2006 AUG","2.6"
"2006 SEP","2.5"
"2006 OCT","2.5"
"2006 NOV","2.8"
"2006 DEC","2.9"
"2007 JAN","2.7"
"2007 FEB","2.7"
"2007 MAR","2.9"
"2007 APR","2.7"
"2007 MAY","2.5"
"2007 JUN","2.5"
"2007 JUL","2.0"
"2007 AUG","2.0"
"2007 SEP","2.0"
"2007 OCT","2.3"
"2007 NOV","2.2"
"2007 DEC","2.3"
"2008 JAN","2.4"
"2008 FEB","2.6"
"2008 MAR","2.6"
"2008 APR","3.0"
"2008 MAY","3.3"
"2008 JUN","3.7"
"2008 JUL","4.2"
"2008 AUG","4.4"
"2008 SEP","4.8"
"2008 OCT","4.2"
"2008 NOV","3.8"
"2008 DEC","3.0"
"2009 JAN","2.9"
"2009 FEB","3.1"
"2009 MAR","2.8"
"2009 APR","2.3"
"2009 MAY","2.1"
"2009 JUN","1.7"
"2009 JUL","1.6"
"2009 AUG","1.4"
"2009 SEP","1.0"
"2009 OCT","1.2"
"2009 NOV","1.5"
"2009 DEC","2.1"
"2010 JAN","2.6"
"2010 FEB","2.1"
"2010 MAR","2.4"
"2010 APR","2.7"
"2010 MAY","2.5"
"2010 JUN","2.4"
"2010 JUL","2.3"
"2010 AUG","2.4"
"2010 SEP","2.4"
"2010 OCT","2.5"
"2010 NOV","2.6"
"2010 DEC","3.1"
"2011 JAN","3.4"
"2011 FEB","3.7"
"2011 MAR","3.5"
"2011 APR","3.8"
"2011 MAY","3.8"
"2011 JUN","3.6"
"2011 JUL","3.8"
"2011 AUG","3.9"
"2011 SEP","4.5"
"2011 OCT","4.3"
"2011 NOV","4.1"
"2011 DEC","3.7"
"2012 JAN","3.2"
"2012 FEB","3.1"
"2012 MAR","3.1"
"2012 APR","2.8"
"2012 MAY","2.5"
"2012 JUN","2.3"
"2012 JUL","2.4"
"2012 AUG","2.3"
"2012 SEP","2.1"
"2012 OCT","2.4"
"2012 NOV","2.4"
"2012 DEC","2.4"
"2013 JAN","2.4"
"2013 FEB","2.5"
"2013 MAR","2.5"
"2013 APR","2.2"
"2013 MAY","2.4"
"2013 JUN","2.6"
"2013 JUL","2.5"
"2013 AUG","2.4"
"2013 SEP","2.4"
"2013 OCT","2.0"
"2013 NOV","1.9"
"2013 DEC","1.9"
"2014 JAN","1.8"
"2014 FEB","1.6"
"2014 MAR","1.5"
"2014 APR","1.7"
"2014 MAY","1.5"
"2014 JUN","1.8"
"2014 JUL","1.6"
"2014 AUG","1.5"
